Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,1.109521,1.110494,1.107751,1.109459,1.109459,0
2020-01-21,1.109644,1.111976,1.108647,1.109693,1.109693,0
2020-01-22,1.108586,1.109779,1.107162,1.108561,1.108561,0
2020-01-23,1.109755,1.110322,1.103704,1.109644,1.109644,0
2020-01-24,1.105534,1.106085,1.102123,1.105522,1.105522,0
2020-01-27,1.102633,1.103997,1.101006,1.102536,1.102536,0
2020-01-28,1.101965,1.102657,1.099856,1.101977,1.101977,0
2020-01-29,1.102293,1.103022,1.099324,1.102256,1.102256,0
2020-01-30,1.101406,1.103655,1.100824,1.101686,1.101686,0
2020-01-31,1.102876,1.109016,1.101795,1.102913,1.102913,0
2020-02-03,1.108906,1.108906,1.104350,1.108979,1.108979,0
2020-02-04,1.106293,1.106562,1.103387,1.106293,1.106293,0
2020-02-05,1.104472,1.104850,1.099832,1.104728,1.104728,0
2020-02-06,1.100049,1.101285,1.096551,1.100231,1.100231,0
2020-02-07,1.098105,1.098699,1.094691,1.098298,1.098298,0
2020-02-10,1.094871,1.096131,1.090960,1.094931,1.094931,0
2020-02-11,1.091227,1.092700,1.089348,1.091346,1.091346,0
2020-02-12,1.092180,1.092500,1.088708,1.091941,1.091941,0
2020-02-13,1.087642,1.089087,1.083553,1.087595,1.087595,0
2020-02-14,1.084599,1.086248,1.083130,1.084599,1.084599,0
2020-02-17,1.084058,1.085400,1.083025,1.084175,1.084175,0
2020-02-18,1.083705,1.083900,1.078691,1.084011,1.084011,0
2020-02-19,1.079471,1.080847,1.078360,1.079540,1.079540,0
2020-02-20,1.080964,1.082100,1.077958,1.081010,1.081010,0
2020-02-21,1.078772,1.086366,1.078772,1.078800,1.078800,0
2020-02-24,1.083858,1.086366,1.080847,1.083905,1.083905,0
2020-02-25,1.084905,1.088175,1.083177,1.084920,1.084920,0
2020-02-26,1.088100,1.090358,1.085564,1.088200,1.088200,0
2020-02-27,1.088566,1.100570,1.088566,1.088589,1.088589,0
2020-02-28,1.099554,1.105278,1.095158,1.099723,1.099723,0
2020-03-02,1.105253,1.116408,1.103728,1.105131,1.105131,0
2020-03-03,1.114430,1.120750,1.109730,1.114405,1.114405,0
2020-03-04,1.117730,1.118568,1.109693,1.118068,1.118068,0
2020-03-05,1.113908,1.120448,1.112174,1.113908,1.113908,0
2020-03-06,1.122385,1.135473,1.121391,1.122385,1.122385,0
2020-03-09,1.138615,1.149584,1.135680,1.138602,1.138602,0
2020-03-10,1.139744,1.142296,1.133414,1.139796,1.139796,0
2020-03-11,1.131618,1.136596,1.125901,1.131651,1.131651,0
2020-03-12,1.126075,1.133286,1.108082,1.126152,1.126152,0
2020-03-13,1.118356,1.122133,1.106537,1.118493,1.118493,0
2020-03-16,1.115959,1.123540,1.108869,1.115536,1.115536,0
2020-03-17,1.116333,1.118906,1.095794,1.116321,1.116321,0
2020-03-18,1.101686,1.104500,1.083189,1.101552,1.101552,0
2020-03-19,1.094343,1.094559,1.069793,1.096155,1.096155,0
2020-03-20,1.065848,1.082989,1.065451,1.065735,1.065735,0
2020-03-23,1.068753,1.082485,1.066041,1.069439,1.069439,0
2020-03-24,1.076473,1.088850,1.075338,1.076461,1.076461,0
2020-03-25,1.080124,1.084952,1.077018,1.080264,1.080264,0
